후보 1  최종 유사도: 90.9753%
아이 후보 2  최종 유사도: 25.0800%
아이 후보 3  최종 유사도: 24.7195%
아이 후보 4  최종 유사도: 25.0442%
아이 후보 5  최종 유사도: 24.6561%
아이 후보 6  최종 유사도: 25.1091%
아이 후보 7  최종 유사도: 25.2371%
아이 후보 8  최종 유사도: 25.2112%
아이 후보 9  최종 유사도: 24.8483%
아이 후보 10  최종 유사도: 25.4422%
아이 후보 11  최종 유사도: 25.2112%
아이 후보 12  최종 유사도: 25.0229%
아이 후보 13  최종 유사도: 25.4697%
아이 후보 14  최종 유사도: 24.5510%
아이 후보 15  최종 유사도: 25.3271%
아이 후보 16  최종 유사도: 24.9344%
아이 후보 17  최종 유사도: 24.8848%
아이 후보 18  최종 유사도: 24.9619%
아이 후보 19  최종 유사도: 25.0457%
아이 후보 20  최종 유사도: 24.8902%
아이 후보 21  최종 유사도: 25.2279%
아이 후보 22  최종 유사도: 25.0648%
아이 후보 23  최종 유사도: 24.9985%
아이 후보 24  최종 유사도: 25.3873%
아이 후보 25  최종 유사도: 24.9451%
아이 후보 26  최종 유사도: 24.9413%
아이 후보 27  최종 유사도: 25.1106%
아이 후보 28  최종 유사도: 25.2218%
아이 후보 29  최종 유사도: 25.4406%
아이 후보 30  최종 유사도: 24.8132%
아이 후보 31  최종 유사도: 25.2188%
아이 후보 32  최종 유사도: 24.7545%
아이 후보 33  최종 유사도: 25.1723%
아이 후보 34  최종 유사도: 24.5334%
아이 후보 35  최종 유사도: 24.4436%
아이 후보 36  최종 유사도: 25.0793%
아이 후보 37  최종 유사도: 25.0541%
아이 후보 38  최종 유사도: 25.2188%
아이 후보 39  최종 유사도: 25.4659%
아이 후보 40  최종 유사도: 25.3491%
아이 후보 41  최종 유사도: 24.8940%
아이 후보 42  최종 유사도: 25.0351%
아이 후보 43  최종 유사도: 25.1311%
아이 후보 44  최종 유사도: 25.3461%
아이 후보 45  최종 유사도: 25.2341%
아이 후보 46  최종 유사도: 25.1487%
아이 후보 47  최종 유사도: 24.7782%
아이 후보 48  최종 유사도: 25.0930%
아이 후보 49  최종 유사도: 25.0404%
아이 후보 50  최종 유사도: 24.7850%
아이 후보 51  최종 유사도: 25.0435%
아이 후보 52  최종 유사도: 24.6951%
아이 후보 53  최종 유사도: 24.8582%
아이 후보 54  최종 유사도: 25.4109%
아이 후보 55  최종 유사도: 25.0130%
아이 후보 56  최종 유사도: 25.2371%
아이 후보 57  최종 유사도: 24.6722%
아이 후보 58  최종 유사도: 24.8513%
아이 후보 59  최종 유사도: 24.7423%
아이 후보 60  최종 유사도: 24.8796%
아이 후보 61  최종 유사도: 25.1532%
아이 후보 62  최종 유사도: 25.0442%
아이 후보 63  최종 유사도: 25.3240%
아이 후보 64  최종 유사도: 25.1906%
아이 후보 65  최종 유사도: 24.5517%
아이 후보 66  최종 유사도: 25.2424%
아이 후보 67  최종 유사도: 25.4002%
아이 후보 68  최종 유사도: 24.9992%
아이 후보 69  최종 유사도: 24.9215%
아이 후보 70  최종 유사도: 25.2790%
아이 후보 71  최종 유사도: 25.2249%
아이 후보 72  최종 유사도: 24.6918%
아이 후보 73  최종 유사도: 25.1800%
아이 후보 74  최종 유사도: 25.2082%
아이 후보 75  최종 유사도: 25.7166%
아이 후보 76  최종 유사도: 24.8117%
아이 후보 77  최종 유사도: 25.3271%
아이 후보 78  최종 유사도: 25.4017%
아이 후보 79  최종 유사도: 24.8536%
아이 후보 80  최종 유사도: 25.3072%
아이 후보 81  최종 유사도: 24.8239%
아이 후보 82  최종 유사도: 25.0747%
아이 후보 83  최종 유사도: 25.2495%
아이 후보 84  최종 유사도: 24.8018%
아이 후보 85  최종 유사도: 25.4583%
아이 후보 86  최종 유사도: 24.9291%
아이 후보 87  최종 유사도: 25.2188%
아이 후보 88  최종 유사도: 24.8498%
아이 후보 89  최종 유사도: 24.6622%
아이 후보 90  최종 유사도: 25.1647%
아이 후보 91  최종 유사도: 25.2051%
아이 후보 92  최종 유사도: 25.2860%
아이 후보 93  최종 유사도: 25.1242%
아이 후보 94  최종 유사도: 24.7942%
아이 후보 95  최종 유사도: 25.0580%
아이 후보 96  최종 유사도: 25.2584%
아이 후보 97  최종 유사도: 25.0366%
아이 후보 98  최종 유사도: 25.2897%
아이 후보 99  최종 유사도: 25.1288%
아이 후보 100  최종 유사도: 25.2531%
아이 후보 101  최종 유사도: 25.4947%

=== 최종 판별 결과 ===
=> 최종 판별: 아이 101명 중 아이 후보 1번이 90.9753%의 가장 높은 유사도로 친자식일 가능성이 가장 높습니다.
